"Coffee Cups/Day","Hours Studied","Previous Scores","Extracurricular Activities","Sleep Hours","Sample Question Papers Practiced","Performance Index"
2,5,72,1,8,1,58.
0,1,69,1,9,8,45.
-1,1,85,1,8,0,60.
1,3,74,1,6,0,56.
0,2,62,1,7,9,42.
1,5,49,-1,6,5,33.
2,6,90,-1,7,0,77.
4,7,58,1,6,2,51.
1,4,90,-1,7,9,72.
4,7,67,1,4,1,57.
3,8,62,-1,6,8,53.
-1,1,43,-1,6,4,16.
2,6,59,-1,7,5,45.
4,8,58,-1,5,1,49.
2,5,81,1,5,7,67.
1,4,66,-1,4,5,49.
0,2,96,-1,8,7,73.
2,6,73,-1,8,7,65.
3,6,43,1,4,0,27.
0,1,95,-1,8,6,72.
3,9,77,1,9,1,74.
2,6,46,1,9,7,38.
2,3,87,-1,9,1,67.
1,4,46,1,9,3,28.
2,4,89,-1,7,1,73.
2,3,91,-1,5,6,72.
1,3,65,-1,4,4,42.
1,3,65,-1,7,8,47.
1,4,93,-1,9,4,77.
4,7,58,-1,4,7,49.
1,4,48,-1,5,1,30.
4,9,59,1,8,2,54.
0,1,81,1,7,5,56.
4,8,84,-1,5,6,75.
3,7,89,-1,4,9,78.
0,2,55,1,6,7,32.
4,8,93,-1,7,2,89.
0,1,56,1,4,6,29.
4,9,61,1,4,7,57.
3,9,52,-1,5,9,48.
0,2,51,-1,4,5,27.
4,7,49,1,7,3,38.
2,3,40,1,9,5,18.
3,7,71,-1,7,8,66.
4,9,69,-1,4,2,65.
1,4,47,1,5,1,27.
-1,1,60,1,7,4,33.
1,2,61,1,6,6,37.
-1,1,57,-1,9,2,29.
2,5,41,-1,8,4,26.
2,5,87,-1,5,3,72.
3,7,83,1,5,6,77.
3,9,48,1,8,1,45.
3,9,42,-1,8,6,41.
1,3,93,1,7,1,73.
1,3,65,1,4,2,43.
2,3,60,1,4,4,39.
1,4,69,1,6,6,54.
4,8,67,1,9,5,62.
3,6,75,-1,4,6,63.
4,8,65,-1,6,5,59.
0,1,73,-1,6,0,46.
3,8,47,-1,5,4,42.
2,4,49,-1,5,0,30.
0,1,87,1,9,6,63.
3,8,94,1,7,3,89.
2,4,82,1,8,4,62.
2,6,89,-1,8,0,77.
3,8,93,1,9,7,88.
1,4,53,1,6,3,35.
1,3,79,1,9,2,60.
3,9,94,-1,8,0,92.
2,3,54,1,6,3,38.
3,9,56,1,8,2,56.
1,2,92,-1,7,7,70.
0,2,57,-1,5,8,35.
1,2,71,1,5,4,47.
3,6,77,-1,6,8,66.
1,3,62,1,9,0,43.
4,9,85,-1,8,6,81.
1,4,62,1,4,6,43.
0,1,74,1,7,5,46.
1,4,78,-1,8,3,61.
-1,1,54,-1,4,8,27.
1,5,92,-1,7,2,77.
2,4,63,-1,7,0,43.
3,8,67,1,5,1,60.
4,8,55,-1,6,2,48.
4,7,55,1,8,1,47.
1,3,79,1,7,5,60.
0,1,78,1,8,6,53.
-1,1,45,-1,7,4,19.
2,3,41,1,9,4,23.
2,6,93,1,5,6,81.
3,7,52,-1,6,5,41.
3,6,83,1,4,7,71.
3,6,86,1,4,8,75.
3,6,98,1,9,1,89.
2,3,48,-1,5,1,28.
3,6,73,1,7,0,60.
3,8,56,1,5,6,54.
0,2,66,1,6,3,41.
2,5,68,-1,4,8,52.
0,1,76,-1,8,5,53.
-1,1,82,-1,4,6,52.
2,5,61,1,6,6,47.
2,3,90,1,7,7,71.
2,4,63,1,5,3,42.
1,3,46,1,4,2,21.
0,1,73,1,4,2,48.
0,1,87,-1,8,9,64.
1,5,51,1,5,7,38.
3,6,62,1,8,2,49.
2,3,54,-1,8,7,35.
4,9,72,-1,7,1,73.
1,5,96,1,4,4,81.
3,8,52,-1,9,4,47.
0,1,62,-1,5,6,36.
2,5,77,-1,7,4,63.
1,3,71,1,9,8,52.
0,1,84,-1,7,2,58.
1,4,89,1,7,8,77.
1,5,74,-1,6,0,58.
4,7,40,1,6,2,33.
0,1,86,1,7,3,67.
2,3,97,1,6,5,76.
0,2,84,-1,5,9,62.
3,9,44,-1,4,7,37.
3,6,96,-1,9,6,86.
2,3,52,1,5,7,37.
3,8,93,-1,4,5,88.
3,8,44,-1,6,5,38.
1,2,99,1,9,5,76.
3,6,71,-1,5,2,57.
3,7,90,1,8,9,82.
1,2,60,-1,7,3,35.
0,2,63,1,4,5,41.
-1,1,99,1,4,6,75.
4,8,57,-1,8,2,51.
0,1,60,1,8,3,34.
4,9,93,-1,7,5,92.
2,6,49,-1,6,0,39.
3,7,63,-1,5,6,56.
3,7,79,-1,5,0,69.
2,3,86,1,5,9,69.
0,2,60,1,6,8,40.
3,9,64,1,7,9,63.
3,8,91,-1,5,8,86.
3,7,99,-1,4,8,89.
3,9,96,1,4,3,94.
1,4,98,1,4,1,79.
1,4,62,-1,8,6,44.
-1,1,61,-1,8,3,33.
4,8,43,-1,6,4,36.
2,3,73,1,5,0,50.
4,7,95,-1,8,9,94.
0,2,45,1,4,5,22.
1,2,67,-1,8,6,44.
4,7,70,1,4,2,60.
3,6,74,-1,5,9,64.
2,3,78,1,6,1,58.
4,9,81,1,7,9,78.
3,6,62,1,7,6,51.
2,6,45,-1,4,0,30.
0,1,55,1,8,1,29.
1,4,41,1,8,2,22.
2,6,63,-1,4,3,51.
3,6,56,1,5,4,45.
2,5,84,1,4,3,70.
-1,1,40,-1,5,9,10.
3,8,45,1,6,2,38.
2,5,44,-1,6,0,30.
2,5,96,1,4,6,82.
3,7,84,-1,6,9,74.
2,4,99,1,8,5,87.
3,6,94,1,5,1,77.
2,4,89,1,7,1,72.
1,3,68,-1,7,2,51.
4,7,51,1,6,7,40.
3,8,78,1,5,7,72.
1,4,86,-1,8,9,68.
1,2,42,-1,7,9,22.
1,3,87,-1,8,9,67.
-1,1,40,1,8,9,18.
3,8,66,1,7,7,64.
1,3,87,1,7,6,66.
3,7,63,-1,6,1,50.
2,5,83,-1,5,0,68.
1,5,58,1,4,5,44.
3,7,98,1,5,7,90.
4,9,47,-1,4,0,41.
2,5,94,-1,7,2,83.
-1,1,83,-1,8,0,57.
0,1,86,1,5,9,64.
1,2,41,-1,8,8,18.
2,6,69,-1,5,6,62.
3,9,69,-1,9,7,66.
3,8,88,-1,5,8,85.
1,5,78,1,8,2,62.
-1,1,84,-1,9,9,62.
3,7,71,1,6,1,62.
1,5,40,1,7,5,26.
3,6,77,-1,6,4,66.
4,7,52,-1,6,3,43.
1,3,50,1,5,5,30.
2,3,49,-1,7,5,25.
1,5,87,1,9,2,77.
3,6,98,-1,5,1,88.
4,9,65,1,4,8,62.
1,5,95,1,5,7,82.
-1,1,94,1,9,3,73.
2,4,59,-1,8,5,44.
2,5,56,1,5,2,40.
2,5,56,1,4,7,39.
4,7,43,-1,5,2,34.
2,4,44,-1,9,1,27.
0,1,99,1,4,6,73.
2,5,62,1,7,2,46.
3,7,85,-1,9,8,78.
3,6,91,1,5,2,80.
1,5,49,-1,4,7,33.
1,4,85,-1,9,1,68.
0,2,67,-1,7,8,45.
2,4,72,1,8,0,56.
1,3,82,-1,6,2,58.
0,1,65,1,4,1,37.
4,8,94,1,8,6,88.
2,5,89,-1,7,4,75.
2,4,87,-1,8,7,70.
3,8,68,-1,5,1,62.
3,7,66,-1,6,7,57.
1,2,57,1,4,6,32.
-1,1,79,1,9,4,53.
1,4,99,-1,7,1,82.
3,8,49,1,6,9,41.
0,2,97,-1,7,6,75.
2,3,81,1,8,9,63.
0,1,44,1,7,3,17.
-1,1,49,1,7,3,24.
2,3,89,-1,8,7,69.
1,5,60,1,8,5,47.
1,3,63,1,6,8,43.
-1,1,77,1,4,1,48.
0,1,42,1,8,4,17.
3,8,79,-1,6,5,75.
1,2,70,1,7,7,54.
2,3,80,-1,7,3,59.
1,2,76,-1,9,6,56.
1,3,41,1,5,6,20.
4,7,41,1,8,3,34.
-1,1,78,-1,6,0,54.
3,8,88,-1,9,2,83.
1,2,81,-1,6,1,59.
2,3,83,1,4,2,63.
4,9,73,1,9,4,72.
3,7,81,-1,6,0,70.
2,4,59,-1,8,4,41.
2,5,72,-1,6,1,54.
0,2,43,1,5,3,21.
3,8,84,1,7,5,83.
1,4,83,-1,7,8,64.
3,9,50,1,9,9,51.
2,5,81,-1,6,5,66.
4,9,86,1,6,9,83.
1,4,44,-1,6,1,26.
1,5,64,1,6,7,49.
4,9,88,1,5,4,85.
4,8,99,1,8,8,95.
2,3,76,1,5,9,56.
-1,1,73,1,5,8,50.
1,3,48,1,5,3,23.
1,4,45,1,7,0,26.
0,2,57,-1,5,8,30.
-1,1,53,-1,6,8,28.
4,7,58,-1,5,7,48.
4,8,53,1,6,4,46.
3,7,79,1,9,4,73.
2,5,56,1,8,9,45.
0,1,99,-1,7,5,76.
3,7,74,-1,8,0,71.
4,7,68,-1,9,8,60.
3,9,81,-1,8,4,77.
1,3,56,-1,7,6,36.
4,9,98,-1,6,7,96.
-1,1,82,1,9,4,62.
0,1,47,-1,9,2,22.
1,4,40,1,6,5,21.
4,9,84,-1,6,6,79.
2,6,92,-1,7,3,82.
2,3,75,1,5,8,55.
-1,1,46,1,4,3,22.
2,4,85,1,5,9,70.
4,9,44,-1,5,1,37.
2,3,63,-1,8,8,42.
4,9,67,1,4,3,64.
4,7,82,-1,6,3,72.
2,4,56,1,5,9,42.
2,3,76,-1,7,0,56.
1,5,59,-1,5,1,43.
2,5,42,-1,6,2,24.
2,3,76,1,5,6,55.
4,9,65,-1,9,8,64.
2,4,54,1,8,4,34.
2,5,90,1,8,3,78.
2,4,87,1,5,1,71.
2,5,47,1,8,6,33.
3,7,52,1,7,5,46.
4,9,87,1,4,6,86.
3,7,42,1,5,7,34.
2,5,40,1,7,8,26.
3,7,48,1,9,9,44.
1,5,70,-1,7,4,53.
1,3,80,1,7,4,61.
4,7,93,-1,9,3,84.
0,2,65,1,6,2,40.
4,9,56,-1,5,6,53.
0,1,95,-1,5,4,67.
3,6,73,-1,5,6,58.
4,7,48,-1,4,1,41.
3,8,95,-1,7,8,89.
4,9,90,-1,5,8,85.
1,2,52,1,8,8,33.
1,2,44,1,6,4,20.
1,5,80,1,9,9,66.
2,5,52,1,9,8,38.
2,6,40,1,4,0,25.
1,3,64,1,9,1,43.
4,8,86,-1,6,9,79.
0,1,43,1,7,4,16.
2,6,75,-1,9,4,67.
2,4,91,-1,9,5,80.
-1,1,49,-1,8,7,26.
3,7,67,-1,7,0,57.
4,9,96,-1,5,9,91.
1,4,45,-1,6,8,29.
1,4,66,1,9,3,48.
2,6,95,-1,8,7,84.
2,3,51,-1,6,4,33.
3,6,91,1,4,0,82.
4,7,87,1,8,8,81.
1,3,42,1,4,7,24.
3,7,85,1,9,4,81.
2,3,72,1,8,3,54.
1,2,49,1,5,7,25.
1,4,70,1,6,8,53.
3,8,54,-1,6,6,48.
4,9,46,1,7,3,40.
4,7,75,-1,8,6,66.
0,1,53,1,8,5,29.
2,3,95,1,4,2,73.
3,9,87,-1,8,9,89.
-1,1,53,1,6,2,27.
3,9,42,1,8,0,40.
3,8,88,1,7,4,83.
0,1,92,1,7,7,69.
3,6,85,1,6,5,72.
1,5,89,1,6,7,77.
3,6,42,1,6,6,32.
1,5,61,-1,8,1,49.
3,6,58,1,8,7,44.
2,5,74,-1,5,3,57.
2,5,51,-1,9,4,34.
1,4,93,-1,9,7,76.
2,3,44,-1,4,4,22.
2,3,49,-1,8,4,30.
1,4,80,-1,5,5,67.
4,9,72,-1,5,6,71.
0,2,52,1,7,8,29.
3,9,74,1,8,6,74.
0,1,90,1,5,5,67.
0,1,71,-1,7,9,46.
2,5,50,1,4,3,34.
2,6,87,-1,7,9,76.
3,6,77,-1,4,1,64.
1,3,63,1,9,8,46.
4,7,74,-1,9,9,68.
3,9,58,-1,6,4,58.
3,8,45,1,6,4,41.
3,6,79,-1,7,2,64.
3,8,93,1,6,2,84.
1,5,84,-1,8,0,70.
4,8,83,-1,7,4,77.
2,4,81,1,5,2,60.
4,8,74,1,8,1,65.
1,2,43,1,7,8,21.
2,5,72,-1,9,9,60.
3,9,52,-1,4,5,48.
1,4,95,1,6,2,77.
2,6,75,1,6,6,63.
0,1,93,1,6,8,68.
4,9,82,-1,7,8,81.
-1,1,58,-1,8,0,29.
1,5,82,1,4,1,66.
2,4,51,1,6,7,36.
1,3,50,1,8,0,29.
3,6,45,-1,5,2,32.
0,2,51,1,9,6,31.
2,3,66,1,5,7,45.
1,5,80,1,4,4,65.
3,9,64,-1,6,1,57.
0,2,81,-1,5,2,58.
4,8,42,1,9,8,38.
0,2,42,-1,8,9,22.
1,5,59,1,8,6,48.
4,7,67,1,5,0,59.
3,8,62,1,6,2,58.
0,1,87,1,9,8,62.
2,6,42,-1,4,6,30.
-1,1,81,1,6,1,56.
0,2,63,1,7,5,40.
0,1,82,-1,5,8,59.
2,5,79,1,7,3,65.
4,9,45,-1,5,9,43.
2,6,59,1,4,1,48.
-1,1,50,1,6,2,24.
0,1,71,1,9,6,51.
1,2,99,1,6,3,81.
3,9,66,-1,5,6,62.
1,3,60,1,8,4,43.
-1,1,83,-1,7,7,63.
2,5,87,-1,9,7,73.
4,7,89,-1,9,4,76.
3,6,52,1,6,6,43.
0,1,61,-1,6,5,34.
1,5,74,-1,5,7,57.
1,5,86,-1,8,8,72.
2,6,61,1,7,4,47.
2,3,67,1,8,6,52.
2,5,60,-1,9,0,49.
4,7,85,-1,8,7,77.
2,5,57,1,5,2,41.
2,5,70,-1,8,0,56.
1,5,99,-1,7,5,89.
1,3,85,-1,9,7,65.
-1,1,76,1,4,2,49.
1,5,60,-1,9,0,48.
4,9,53,-1,4,2,47.
-1,1,64,1,7,4,37.
2,3,66,-1,9,7,48.
1,4,79,1,9,8,61.
0,1,99,1,9,8,77.
0,1,99,1,9,3,75.
3,8,62,-1,5,7,57.
0,2,70,-1,6,4,45.
4,8,86,-1,9,2,82.
3,7,99,-1,5,4,90.
1,2,68,-1,7,1,42.
3,6,86,-1,9,5,74.
3,6,69,-1,8,0,60.
2,3,90,-1,9,5,73.
1,2,65,1,9,4,40.
-1,1,59,-1,4,8,32.
3,6,77,-1,8,6,67.
2,5,58,1,9,5,46.
3,9,66,-1,9,6,65.
0,1,64,1,9,9,42.
4,7,79,-1,5,4,69.
2,5,77,-1,7,0,62.
2,5,91,1,4,8,75.
1,2,62,1,9,4,40.
2,3,68,-1,7,3,43.
4,7,54,1,4,5,42.
3,6,98,-1,4,4,84.
0,2,42,-1,4,0,15.
2,6,49,-1,9,1,39.
1,2,54,-1,5,3,26.
0,2,95,-1,9,7,73.
1,2,55,-1,9,4,34.
1,3,56,1,7,6,34.
0,2,58,1,6,1,37.
2,4,50,1,6,7,34.
3,9,87,-1,6,4,85.
2,6,44,1,7,3,31.
-1,1,44,-1,8,8,18.
3,8,97,1,7,5,92.
3,7,53,-1,4,3,44.
1,3,89,-1,9,7,72.
-1,1,65,-1,8,2,40.
1,5,47,-1,4,9,31.
1,4,44,-1,9,1,25.
3,8,46,1,9,6,44.
-1,1,55,-1,4,3,27.
0,1,94,1,7,3,66.
1,4,53,-1,6,9,34.
4,8,76,-1,8,8,70.
2,5,95,-1,9,1,81.
0,2,80,1,5,0,56.
2,6,43,-1,9,6,30.
1,5,75,1,6,7,60.
0,2,87,-1,9,2,64.
1,3,95,1,5,1,74.
4,9,56,1,7,3,52.
4,7,86,1,9,1,84.
4,7,75,-1,8,1,66.
2,6,45,-1,7,4,32.
3,8,55,1,5,9,47.
1,4,68,-1,4,4,51.
4,8,75,-1,9,7,67.
2,4,77,-1,7,8,57.
4,8,76,1,9,1,71.
3,9,87,1,8,0,86.
1,3,96,-1,9,2,77.
1,3,87,1,7,5,72.
1,2,49,-1,6,4,24.
1,3,80,-1,7,7,60.
1,3,75,1,5,7,55.
1,5,68,1,7,1,54.
2,5,53,-1,8,8,39.
1,2,43,-1,7,3,19.
3,6,83,-1,7,0,68.
1,5,95,1,8,1,83.
3,6,81,1,7,5,72.
0,1,75,-1,8,4,49.
2,5,89,-1,5,6,74.
3,9,84,1,8,8,86.
0,2,52,-1,5,5,26.
0,1,85,1,5,5,60.
4,9,57,1,8,1,54.
3,9,72,-1,7,6,73.
3,9,60,-1,9,1,61.
3,6,55,1,6,6,45.
4,8,54,-1,9,7,57.
-1,1,93,1,8,0,68.
1,4,96,1,7,8,72.
0,1,44,1,5,7,17.
3,8,45,-1,4,8,37.
0,1,77,-1,6,4,54.
1,3,42,-1,9,3,22.
1,4,87,1,7,0,73.
3,8,51,1,6,8,47.
2,6,75,1,4,3,63.
4,7,72,1,4,3,63.
3,8,75,-1,4,3,68.
1,2,72,-1,9,1,52.
3,8,70,-1,8,3,64.
1,3,60,1,6,1,38.
4,7,66,1,8,7,60.
2,3,66,-1,4,6,45.
3,7,47,1,7,9,39.
0,2,95,-1,4,1,75.
2,6,76,1,8,1,67.
2,3,71,1,4,1,48.
2,3,65,1,4,0,44.
3,9,41,1,8,5,37.
4,7,51,1,8,5,41.
1,5,61,-1,7,0,47.
4,7,56,-1,8,0,45.
3,9,46,-1,7,5,43.
0,1,82,1,5,5,54.
4,7,43,-1,5,3,32.
3,6,76,-1,8,2,64.
4,9,77,1,4,8,74.
-1,1,71,1,6,5,50.
1,4,50,-1,4,0,33.
4,9,40,-1,8,2,36.
1,4,64,-1,7,0,45.
1,3,81,-1,4,2,58.
4,9,91,-1,5,1,85.
1,2,63,1,9,4,41.
2,4,92,-1,8,2,78.
3,6,82,-1,4,6,63.
0,2,95,-1,9,7,76.
3,8,56,-1,4,6,51.
3,8,47,-1,7,1,36.
-1,1,98,-1,7,9,74.
1,3,84,1,7,9,65.
4,9,66,1,9,6,65.
1,5,91,1,6,9,79.
2,6,57,-1,9,2,46.
2,4,66,-1,8,6,47.
1,2,61,1,8,0,42.
4,8,55,-1,5,1,46.
3,6,41,-1,5,9,34.
1,5,44,-1,8,0,27.
4,9,57,1,4,8,52.
-1,1,42,1,8,1,17.
1,5,66,1,6,1,53.
3,6,93,-1,5,5,84.
1,5,56,1,5,6,39.
2,6,55,1,9,1,44.
2,6,45,1,5,3,36.
4,7,90,-1,8,2,81.
2,4,46,1,5,4,30.
4,8,89,1,5,8,80.
4,7,53,-1,9,1,41.
4,9,77,1,8,4,77.
3,7,79,-1,4,7,69.
2,3,54,-1,5,5,34.
2,3,86,1,5,3,64.
3,8,86,1,5,9,78.
1,5,87,1,6,7,74.
1,4,72,-1,8,2,52.
4,8,82,1,5,3,76.
3,6,66,1,6,8,53.
0,2,68,1,4,4,46.
1,4,96,-1,4,5,77.
2,4,76,-1,9,1,59.
2,6,44,-1,9,8,35.
2,6,68,1,9,7,61.
-1,1,71,1,6,6,46.
4,8,99,-1,4,8,97.
3,6,92,1,9,4,86.
2,3,45,1,7,4,24.
3,9,41,-1,9,8,37.
0,2,45,-1,4,4,18.
4,8,85,-1,7,8,84.
1,3,82,1,6,0,59.
2,5,43,1,7,9,29.
2,6,95,1,4,9,84.
2,6,68,-1,5,7,60.
1,4,98,-1,7,2,78.
1,3,64,1,4,7,46.
2,4,48,-1,9,4,31.
0,1,95,-1,5,1,68.
2,4,42,1,6,8,25.
-1,1,65,-1,6,3,37.
0,1,87,1,8,6,62.
2,6,82,-1,6,7,69.
1,5,66,1,8,6,50.
1,4,75,-1,6,5,55.
1,3,71,1,6,6,54.
0,1,40,-1,6,3,12.
3,6,96,-1,8,9,88.
1,2,92,-1,9,0,69.
3,8,93,-1,8,4,88.
1,5,55,-1,7,7,41.
4,7,90,1,4,9,83.
1,2,87,1,4,5,62.
4,8,50,1,9,4,45.
0,2,65,-1,4,1,42.
1,4,79,1,6,9,65.
-1,1,94,-1,9,4,73.
1,5,40,-1,4,9,23.
3,9,65,1,8,2,61.
-1,1,67,1,7,1,41.
3,9,92,-1,5,2,85.
3,8,97,-1,7,3,93.
2,6,48,1,4,1,35.
3,7,99,1,9,3,92.
1,3,98,-1,4,3,79.
-1,1,83,-1,8,5,57.
2,5,61,1,7,4,49.
0,2,47,-1,8,6,28.
1,5,97,-1,8,6,85.
4,8,88,1,5,2,82.
3,9,81,1,8,8,80.
0,2,66,-1,8,6,41.
1,3,78,-1,5,6,57.
1,3,58,1,6,1,41.
0,1,64,-1,6,9,43.
3,8,77,1,9,2,73.
3,6,60,-1,5,2,46.
3,8,63,1,9,5,61.
3,9,63,-1,9,3,61.
1,5,99,-1,8,3,87.
1,3,99,-1,9,0,78.
1,5,58,1,4,5,43.
1,5,89,1,7,7,75.
1,5,86,1,4,7,72.
1,3,41,-1,4,7,18.
2,4,53,-1,8,4,36.
4,9,92,1,7,9,92.
3,9,71,1,9,5,71.
1,2,81,-1,7,4,58.
4,8,71,-1,9,3,69.
3,8,67,-1,6,3,58.
4,7,87,-1,5,3,74.
3,8,78,1,8,3,72.
2,3,79,1,9,5,61.
2,6,81,-1,9,5,74.
0,1,86,-1,7,4,60.
3,7,79,-1,8,8,70.
0,1,52,1,9,7,27.
4,9,51,1,6,9,49.
-1,1,47,-1,4,5,17.
-1,1,54,-1,9,8,34.
3,7,65,-1,7,4,51.
0,2,51,-1,6,9,27.
1,5,82,-1,8,3,67.
4,8,90,-1,9,5,84.
4,8,85,1,6,3,81.
1,3,66,1,6,7,45.
3,7,57,1,6,6,50.
2,3,84,-1,6,4,67.
2,6,75,-1,6,9,67.
3,6,88,-1,6,5,77.
2,3,90,1,5,6,70.
3,7,66,-1,8,1,59.
1,3,48,1,4,8,27.
4,8,94,-1,8,6,88.
2,4,78,-1,7,7,60.
0,1,40,-1,7,4,14.
2,4,46,1,8,2,27.
3,7,65,1,6,1,54.
1,4,46,1,5,1,32.
3,6,91,-1,4,2,79.
3,9,46,1,9,0,44.
0,1,47,-1,9,0,20.
1,5,55,-1,6,6,42.
4,7,42,1,8,9,33.
-1,1,84,1,9,7,58.
2,4,49,-1,8,5,31.
2,6,89,-1,5,6,75.
1,2,46,-1,5,0,22.
2,5,60,-1,8,0,46.
-1,1,92,1,6,8,68.
2,6,76,1,6,4,66.
2,6,70,1,6,6,60.
1,4,62,-1,9,5,44.
4,8,96,-1,4,3,90.
2,4,66,-1,4,0,47.
4,8,95,1,6,3,88.
3,8,61,-1,8,9,56.
2,5,78,-1,5,9,66.
1,4,96,1,7,7,78.
1,2,66,1,5,0,43.
1,3,93,-1,5,1,72.
2,3,88,1,7,7,69.
1,4,43,-1,6,1,24.
2,4,63,1,5,9,47.
1,5,62,-1,7,8,45.
1,4,87,1,9,2,72.
3,8,58,1,8,2,51.
3,6,81,1,8,5,73.
3,6,42,1,8,2,28.
4,8,66,-1,6,8,56.
3,7,42,-1,5,7,29.
3,8,67,1,5,3,60.
